Ticker,Rows,Start,End,Start Price,End Price,Total Return %,Null Count,Avg Daily Return,Volatility (Std)
AAPL,1509,2019-01-02,2024-12-30,$37.47,$250.60,568.8%,0,0.126%,1.943%
META,1509,2019-01-02,2024-12-30,$134.62,$588.88,337.4%,0,0.098%,2.706%
JPM,1509,2019-01-02,2024-12-30,$80.84,$232.12,187.1%,0,0.070%,1.927%
JNJ,1509,2019-01-02,2024-12-30,$103.79,$137.56,32.5%,0,0.019%,1.205%
XOM,1509,2019-01-02,2024-12-30,$49.66,$100.66,102.7%,0,0.047%,2.032%
AMZN,1509,2019-01-02,2024-12-30,$76.96,$221.30,187.6%,0,0.070%,2.150%
PG,1509,2019-01-02,2024-12-30,$75.35,$160.43,112.9%,0,0.050%,1.276%
NEE,1509,2019-01-02,2024-12-30,$35.50,$69.12,94.7%,0,0.044%,1.792%
CAT,1509,2019-01-02,2024-12-30,$108.02,$356.10,229.6%,0,0.079%,1.997%
NVDA,1509,2019-01-02,2024-12-30,$3.38,$137.44,3970.1%,0,0.246%,3.251%
SP500,1509,2019-01-02,2024-12-30,$2510.03,$5906.94,135.3%,0,0.057%,1.274%
