,AAPL,META,JPM,JNJ,XOM,AMZN,PG,NEE,CAT,NVDA,SP500
AAPL,1.0,0.5283371954867567,0.42289286315969693,0.31146298553455803,0.28380854961307966,0.5753019182651465,0.36750424501425444,0.33833831063477093,0.3812387406130063,0.5703545495354365,0.7700673600123987
META,0.5283371954867567,1.0,0.324071904213272,0.13903314685120435,0.1475995461611176,0.6097058193246082,0.1968237760520674,0.20568788302588964,0.2601590895935754,0.5215107235697226,0.6206115701037453
JPM,0.42289286315969693,0.324071904213272,1.0,0.33405626009009115,0.5199813613193633,0.30710395025429393,0.3069966148854226,0.29866705632753515,0.6047135514174605,0.34996567201347195,0.7103475660772779
JNJ,0.31146298553455803,0.13903314685120435,0.33405626009009115,1.0,0.2688029724301353,0.12704967305378678,0.5434407319631223,0.40839555435408154,0.28007143091900905,0.0901405233923779,0.43235236558392126
XOM,0.28380854961307966,0.1475995461611176,0.5199813613193633,0.2688029724301353,1.0,0.13827621305614224,0.19822155856387122,0.2557828779071356,0.5091651646664784,0.18642245817302305,0.4835577335556044
AMZN,0.5753019182651465,0.6097058193246082,0.30710395025429393,0.12704967305378678,0.13827621305614224,1.0,0.1958590900960689,0.23062442513337228,0.29259807025492013,0.5669876696589747,0.658045471367035
PG,0.36750424501425444,0.1968237760520674,0.3069966148854226,0.5434407319631223,0.19822155856387122,0.1958590900960689,1.0,0.49204672151027634,0.22235940514887118,0.1586607464450473,0.47524025414865406
NEE,0.33833831063477093,0.20568788302588964,0.29866705632753515,0.40839555435408154,0.2557828779071356,0.23062442513337228,0.49204672151027634,1.0,0.25694832108039967,0.214443921413886,0.4851979317056287
CAT,0.3812387406130063,0.2601590895935754,0.6047135514174605,0.28007143091900905,0.5091651646664784,0.29259807025492013,0.22235940514887118,0.25694832108039967,1.0,0.36555887457243097,0.627743664368361
NVDA,0.5703545495354365,0.5215107235697226,0.34996567201347195,0.0901405233923779,0.18642245817302305,0.5669876696589747,0.1586607464450473,0.214443921413886,0.36555887457243097,1.0,0.7020723586527088
SP500,0.7700673600123987,0.6206115701037453,0.7103475660772779,0.43235236558392126,0.4835577335556044,0.658045471367035,0.47524025414865406,0.4851979317056287,0.627743664368361,0.7020723586527088,1.0
