,AAPL,META,JPM,JNJ,XOM,AMZN,PG,NEE,CAT,NVDA,SP500
AAPL,1.0,0.550765743700155,0.4165857581748089,0.36137200157081795,0.2966542004633018,0.592585461748579,0.40070823428668695,0.3775305956810841,0.373866776377221,0.6107273262118262,0.7840990172115324
META,0.550765743700155,1.0,0.30422494060396477,0.19679254839312313,0.16906710060372432,0.6071691638243851,0.23273971760525392,0.24754515875508717,0.24484053302405373,0.5260123226119263,0.6153179322091799
JPM,0.4165857581748089,0.30422494060396477,1.0,0.3911349798776517,0.57109128613587,0.27998704237210653,0.3450750402039658,0.32984032043468503,0.6273506280621017,0.3427867189129998,0.7124366567521827
JNJ,0.36137200157081795,0.19679254839312313,0.3911349798776517,1.0,0.2947968515227287,0.18789293826546125,0.5707010981256129,0.4287573280733675,0.3312610868793384,0.15462024228650686,0.5098718198348657
XOM,0.2966542004633018,0.16906710060372432,0.57109128613587,0.2947968515227287,1.0,0.15109745261970473,0.2209756373890549,0.2647553308056626,0.5834076882061711,0.20814666605349605,0.5284834821837147
AMZN,0.592585461748579,0.6071691638243851,0.27998704237210653,0.18789293826546125,0.15109745261970473,1.0,0.2332800076078695,0.26404575197174507,0.2711692868966559,0.584160723005847,0.6489925722171505
PG,0.40070823428668695,0.23273971760525392,0.3450750402039658,0.5707010981256129,0.2209756373890549,0.2332800076078695,1.0,0.5274714021187186,0.2549229401280353,0.22712219069972778,0.5409007469873921
NEE,0.3775305956810841,0.24754515875508717,0.32984032043468503,0.4287573280733675,0.2647553308056626,0.26404575197174507,0.5274714021187186,1.0,0.25961457392763065,0.26139164753211425,0.5379831294222349
CAT,0.373866776377221,0.24484053302405373,0.6273506280621017,0.3312610868793384,0.5834076882061711,0.2711692868966559,0.2549229401280353,0.25961457392763065,1.0,0.35735855673844286,0.6264537270788634
NVDA,0.6107273262118262,0.5260123226119263,0.3427867189129998,0.15462024228650686,0.20814666605349605,0.584160723005847,0.22712219069972778,0.26139164753211425,0.35735855673844286,1.0,0.7001554517283863
SP500,0.7840990172115324,0.6153179322091799,0.7124366567521827,0.5098718198348657,0.5284834821837147,0.6489925722171505,0.5409007469873921,0.5379831294222349,0.6264537270788634,0.7001554517283863,1.0
